1002,Government College of Engineering, Amravati
1005,Sant Gadge Baba Amravati University,Amravati
1012,Government College of Engineering,Yavatmal
1101,Shri Sant Gajanan Maharaj College of Engineering,Shegaon
1105,Prof. Ram Meghe Institute of Technology & Research, Amravati
1107,P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati
1114,Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati
1116,Shri Shivaji Education Society's College of Engineering and Technology, Akola
1117,Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad
1119,Paramhansa Ramkrishna Maunibaba Shikshan Santha's  Anuradha Engineering College, Chikhali
1120,Jawaharlal Darda Institute of Engineering and Technology, Yavatmal
1121,Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati
1123,Dr.Rajendra Gode Institute of Technology & Research, Amravati
1125,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshri Shahu College of Engineering, Buldhana
1126,Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur Amravati
1127,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal
1128,Prof Ram Meghe College of Engineering and Management, Badnera
1130,Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon
1180,Sanmati Engineering College, Sawargaon Barde Washim
1182,Padmashri Dr. V.B. Kolte College of Engineering, Malkapur Buldhana
1265,Mauli Group of Institutions College of Engineering and Technology, Shegaon.
1268,Siddhivinayak Technical Campus School of Engineering & Research Technology, Shirasgon Nile
2008,Government College of Engineering, Aurangabad
2020,Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded
2021,University Department of Chemical Technology, Aurangabad
2032,Institute of Chemical Technology Mumbai Marathwada off campus, Jalna
2111,Everest Education Society Group of Institutions (Integrated Campus), Ohar
2112,Shree Yash Pratishthan, Shreeyash College of Engineering and Technology Aurangabad
2113,G. S. Mandal's Maharashtra Institute of Technology, Aurangabad
2114,Deogiri Institute of Engineering and Management Studies, Aurangabad
2116,Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi Nanded
2126,Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad
2127,Mahatma Gandhi Missions College of Engineering, Hingoli Rd Nanded.
2129,M.S. Bidve Engineering College, Latur
2130,Terna Public Charitable Trust's College of Engineering, Osmanabad
2131,Shree Tuljabhavani College of Engineering, Tuljapur
2133,Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai
2134,Peoples Education Society's College of Engineering, Aurangabad
2135,Hi-Tech Institute of Technology, Aurangabad
2136,Aditya Engineering College , Beed
2137,Nagnathappa Halge Engineering College, Parli Beed
2138,Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna
2146,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad
2250,Aurangabad College of Engineering, Naygaon Savangi Aurangabad
2252,Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani
2254,Vilasrao Deshmukh Foundation Group of Institutions, Latur
2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS, NANDED
2516,International Centre Of Excellence In Engineering and Management (ICEEM),
2522,STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.
2533,CSMSS Chh. Shahu College of Engineering, Aurangabad
3012,Veermata Jijabai Technological Institute(VJTI), Matunga Mumbai
3014,Sardar Patel College of Engineering, Andheri
3033,Dr. Babasaheb Ambedkar Technological University, Lonere
3035,Usha Mittal Institute of Technology SNDT Women's University, Mumbai
3036,Institute of Chemical Technology, Matunga Mumbai
3042,Government College of Engineering, Ratnagiri
3135,Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai
3139,Vidyalankar Institute of Technology,Wadala Mumbai
3146,Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar Navi Mumbai
